coalition,value
0|1|4|10,33151.277112301395
0|1|4|11,37525.197112301394
0|1|4|12,34110.243112301396
0|1|4|13,37596.14128275594
0|1|4|14,39802.843180483214
0|1|5|6,34507.817271392305
0|1|5|7,33839.55162366503
0|1|5|8,35572.68141911957
0|1|5|9,34646.01688502867
0|1|5|10,33616.355135028665
0|1|5|11,37779.17841911958
0|1|5|12,34445.92087366503
0|1|5|13,37724.28147593776
0|1|5|14,39695.00721457412
0|1|6|7,34424.451600937755
0|1|6|8,36885.32570321049
0|1|6|9,34904.52119184685
0|1|6|10,33821.20541911958
0|1|6|11,37405.83153275594
0|1|6|12,34369.20362366503
0|1|6|13,39833.7301123014
0|1|6|14,41926.91420321049
0|1|7|8,36563.36230548321
0|1|7|9,34909.17903275594
0|1|7|10,33899.96024866503
0|1|7|11,37689.548657755935
0|1|7|12,34597.10852139231
0|1|7|13,40226.9440213923
0|1|7|14,42164.828635028665
0|1|8|9,36720.61360093776
0|1|8|10,35255.50740775594
0|1|8|11,37935.22758957412
0|1|8|12,36712.75918048321
0|1|8|13,38056.406964574126
0|1|8|14,40178.85783957412
0|1|9|10,34192.65118048321
0|1|9|11,37921.42741911957
0|1|9|12,35160.25260093776
0|1|9|13,38523.779135028664
0|1|9|14,40278.49553275594
0|1|10|11,36917.31881684685
0|1|10|12,34084.30828275594
0|1|10|13,38124.238919119576
0|1|10|14,40591.034669119574
0|1|11|12,37514.99378275594
0|1|11|13,38829.85896457412
0|1|11|14,40384.394669119574
0|1|12|13,37970.28258957412
0|1|12|14,40440.93287366503
0|1|13|14,42772.22170321048
0|2|3|4,33133.15699866503
0|2|3|5,33331.36294184685
0|2|3|6,34261.15749866503
0|2|3|7,33901.847828210484
0|2|3|8,35750.27882821049
0|2|3|9,34805.54388502867
0|2|3|10,33502.34449866503
0|2|3|11,37589.02712366503
0|2|3|12,34170.3072713923
0|2|3|13,37666.12122593776
0|2|3|14,39837.37003275594
0|2|4|5,33321.63271457412
0|2|4|6,34326.16386230139
0|2|4|7,33709.305407755935
0|2|4|8,35628.24223730139
0|2|4|9,34430.43258957412
0|2|4|10,33317.25081684685
0|2|4|11,37563.23929411958
0|2|4|12,34104.42370321049
0|2|4|13,37672.75662366503
0|2|4|14,39747.356544119575
0|2|5|6,34506.41889639231
0|2|5|7,33907.46560093776
0|2|5|8,35663.35551002867
0|2|5|9,34729.97386230139
0|2|5|10,33408.17846457412
0|2|5|11,37718.3638963923
0|2|5|12,34023.799612301395
0|2|5|13,37822.74557821049
0|2|5|14,39727.3603963923
0|2|6|7,34606.105725937756
0|2|6|8,36873.64568048321
0|2|6|9,35164.04572593776
0|2|6|10,33724.05861230139
0|2|6|11,37386.70028275594
0|2|6|12,34173.2517373014
0|2|6|13,39910.08515775594
0|2|6|14,41877.7178623014
0|2|7|8,36636.597044119575
0|2|7|9,34987.572600937754
0|2|7|10,33972.37653275594
0|2|7|11,37826.976828210485
0|2|7|12,34525.818612301395
0|2|7|13,40256.346385028664
0|2|7|14,42120.04304411958
0|2|8|9,36673.583907755936
0|2|8|10,35392.26704411958
0|2|8|11,37790.38205548321
0|2|8|12,36862.19996457412
0|2|8|13,37985.89278275594
